日期,股票,評分,收盤價
2026-06-08,萬海,15,86.1
2026-06-08,富邦金,12,118.0
2026-06-08,國泰金,12,100.0
2026-06-08,台積電,9,2365.0
2026-06-08,鴻海,9,284.5
2026-06-08,廣達,9,390.5
2026-06-08,緯創,9,171.0
2026-06-08,技嘉,9,369.0
2026-06-08,長榮,9,232.0
2026-06-08,陽明,9,54.5
2026-06-08,聯發科,6,4300.0
2026-06-08,聯電,6,131.5
2026-06-08,緯穎,6,5660.0
2026-06-08,奇鋐,6,2600.0
2026-06-08,台光電,0,4885.0
2026-06-08,高力,0,1125.0
2026-06-09,萬海,15,86.1
2026-06-09,富邦金,12,118.0
2026-06-09,國泰金,12,100.0
2026-06-09,台積電,9,2365.0
2026-06-09,鴻海,9,284.5
2026-06-09,廣達,9,390.5
2026-06-09,緯創,9,171.0
2026-06-09,技嘉,9,369.0
2026-06-09,長榮,9,232.0
2026-06-09,陽明,9,54.5
2026-06-09,聯發科,6,4300.0
2026-06-09,聯電,6,131.5
2026-06-09,緯穎,6,5660.0
2026-06-09,奇鋐,6,2600.0
2026-06-09,台光電,0,4885.0
2026-06-09,高力,0,1125.0
2026-06-09,萬海,15,86.1
2026-06-09,富邦金,12,118.0
2026-06-09,國泰金,12,100.0
2026-06-09,台積電,9,2365.0
2026-06-09,鴻海,9,284.5
2026-06-09,廣達,9,390.5
2026-06-09,緯創,9,171.0
2026-06-09,技嘉,9,369.0
2026-06-09,長榮,9,232.0
2026-06-09,陽明,9,54.5
2026-06-09,聯發科,6,4300.0
2026-06-09,聯電,6,131.5
2026-06-09,緯穎,6,5660.0
2026-06-09,奇鋐,6,2600.0
2026-06-09,台光電,0,4885.0
2026-06-09,高力,0,1125.0
2026-06-09,萬海,15,86.1
2026-06-09,富邦金,12,118.0
2026-06-09,國泰金,12,100.0
2026-06-09,台積電,9,2365.0
2026-06-09,鴻海,9,284.5
2026-06-09,廣達,9,390.5
2026-06-09,緯創,9,171.0
2026-06-09,技嘉,9,369.0
2026-06-09,長榮,9,232.0
2026-06-09,陽明,9,54.5
2026-06-09,聯發科,6,4300.0
2026-06-09,聯電,6,131.5
2026-06-09,緯穎,6,5660.0
2026-06-09,奇鋐,6,2600.0
2026-06-09,台光電,0,4885.0
2026-06-09,高力,0,1125.0
2026-06-09,萬海,15,86.1
2026-06-09,富邦金,12,118.0
2026-06-09,國泰金,12,100.0
2026-06-09,廣達,9,390.5
2026-06-09,長榮,9,232.0
2026-06-09,陽明,9,54.5
2026-06-09,台積電,8,2365.0
2026-06-09,鴻海,8,284.5
2026-06-09,緯創,8,171.0
2026-06-09,技嘉,8,369.0
2026-06-09,奇鋐,7,2600.0
2026-06-09,聯發科,5,4300.0
2026-06-09,聯電,5,131.5
2026-06-09,緯穎,5,5660.0
2026-06-09,台光電,1,4885.0
2026-06-09,高力,1,1125.0
2026-06-09,萬海,15,86.1
2026-06-09,富邦金,12,118.0
2026-06-09,國泰金,12,100.0
2026-06-09,廣達,9,390.5
2026-06-09,長榮,9,232.0
2026-06-09,陽明,9,54.5
2026-06-09,台積電,8,2365.0
2026-06-09,鴻海,8,284.5
2026-06-09,緯創,8,171.0
2026-06-09,技嘉,8,369.0
2026-06-09,奇鋐,7,2600.0
2026-06-09,聯發科,5,4300.0
2026-06-09,聯電,5,131.5
2026-06-09,緯穎,5,5660.0
2026-06-09,台光電,1,4885.0
2026-06-09,高力,1,1125.0
2026-06-09,高力,11,1210.0
2026-06-09,廣達,9,376.5
2026-06-09,富邦金,9,116.0
2026-06-09,國泰金,9,95.0
2026-06-09,鴻海,8,269.5
2026-06-09,緯創,8,163.5
2026-06-09,技嘉,8,345.0
2026-06-09,長榮,8,224.0
2026-06-09,萬海,8,84.6
2026-06-09,陽明,7,51.7
2026-06-09,聯發科,5,4070.0
2026-06-09,台積電,4,2295.0
2026-06-09,聯電,4,121.0
2026-06-09,緯穎,4,5275.0
2026-06-09,奇鋐,4,2570.0
2026-06-09,台光電,1,4770.0
2026-06-09,富邦金,12,119.5
2026-06-09,高力,11,1270.0
2026-06-09,廣達,9,378.0
2026-06-09,國泰金,9,99.3
2026-06-09,緯創,8,165.5
2026-06-09,長榮,7,222.0
2026-06-09,萬海,7,83.6
2026-06-09,台積電,5,2305.0
2026-06-09,鴻海,5,270.5
2026-06-09,聯發科,5,4285.0
2026-06-09,技嘉,5,345.5
2026-06-09,聯電,4,119.5
2026-06-09,緯穎,4,5275.0
2026-06-09,奇鋐,4,2500.0
2026-06-09,陽明,4,51.4
2026-06-09,台光電,2,4940.0
2026-06-09,富邦金,12,121.0
2026-06-09,國泰金,12,100.5
2026-06-09,緯創,8,166.0
2026-06-09,長榮,7,222.5
2026-06-09,萬海,7,83.5
2026-06-09,鴻海,5,271.5
2026-06-09,技嘉,5,348.0
2026-06-09,聯電,4,121.5
2026-06-09,陽明,4,51.3
2026-06-09,富邦金,12,122.0
2026-06-09,國泰金,12,101.5
2026-06-09,緯創,8,166.0
2026-06-09,長榮,7,223.0
2026-06-09,萬海,7,83.8
2026-06-09,中鋼,7,18.65
2026-06-09,鴻海,5,272.0
2026-06-09,技嘉,5,349.5
2026-06-09,南亞科,5,350.0
2026-06-09,陽明,4,51.4
2026-06-09,聯電,4,121.5
2026-06-09,富邦金,12,123.5
2026-06-09,國泰金,12,103.0
2026-06-09,廣達,9,376.5
2026-06-09,緯創,8,165.5
2026-06-09,8996.TW,8,1250.0
2026-06-09,長榮,7,223.0
2026-06-09,萬海,7,83.7
2026-06-09,中鋼,7,18.7
2026-06-09,聯發科,6,4395.0
2026-06-09,台積電,5,2305.0
2026-06-09,鴻海,5,272.0
2026-06-09,技嘉,5,348.5
2026-06-09,南亞科,5,347.0
2026-06-09,奇鋐,4,2500.0
2026-06-09,陽明,4,51.2
2026-06-09,聯電,4,122.0
2026-06-09,台光電,2,5010.0
2026-06-09,8996.TW,12,1275.0
2026-06-09,國泰金,11,103.5
2026-06-09,富邦金,10,123.0
2026-06-09,廣達,9,375.5
2026-06-09,緯創,9,164.5
2026-06-09,台積電,6,2305.0
2026-06-09,鴻海,6,270.5
2026-06-09,聯發科,6,4410.0
2026-06-09,技嘉,6,346.5
2026-06-09,長榮,6,222.5
2026-06-09,萬海,6,83.9
2026-06-09,南亞科,6,346.0
2026-06-09,中鋼,6,18.7
2026-06-09,奇鋐,3,2515.0
2026-06-09,台光電,3,5025.0
2026-06-09,陽明,3,51.4
2026-06-09,聯電,3,121.5
2026-06-09,8996.TW,12,1330.0
2026-06-09,國泰金,11,102.5
2026-06-09,富邦金,10,124.5
2026-06-09,廣達,9,377.5
2026-06-09,緯創,9,166.0
2026-06-09,長榮,9,225.0
2026-06-09,萬海,9,84.7
2026-06-09,台積電,6,2305.0
2026-06-09,鴻海,6,272.5
2026-06-09,聯發科,6,4475.0
2026-06-09,技嘉,6,351.5
2026-06-09,陽明,6,51.8
2026-06-09,聯電,6,129.5
2026-06-09,南亞科,6,346.5
2026-06-09,中鋼,6,18.65
2026-06-09,奇鋐,3,2525.0
2026-06-09,台光電,3,5045.0
2026-06-09,8996.TW,12,1330.0
2026-06-09,國泰金,11,104.0
2026-06-09,富邦金,10,125.0
2026-06-09,廣達,9,375.0
2026-06-09,緯創,9,165.5
2026-06-09,萬海,9,84.7
2026-06-09,南亞科,9,363.0
2026-06-09,台積電,6,2305.0
2026-06-09,鴻海,6,277.5
2026-06-09,聯發科,6,4475.0
2026-06-09,技嘉,6,359.0
2026-06-09,長榮,6,222.0
2026-06-09,陽明,6,51.6
2026-06-09,聯電,6,127.5
2026-06-09,中鋼,6,18.75
2026-06-09,奇鋐,3,2545.0
2026-06-09,台光電,3,5065.0
2026-06-09,8996.TW,12,1330.0
2026-06-09,國泰金,11,104.0
2026-06-09,富邦金,10,125.0
2026-06-09,廣達,9,375.0
2026-06-09,緯創,9,165.5
2026-06-09,萬海,9,84.7
2026-06-09,南亞科,9,363.0
2026-06-09,台積電,6,2305.0
2026-06-09,鴻海,6,277.5
2026-06-09,聯發科,6,4475.0
2026-06-09,技嘉,6,359.0
2026-06-09,長榮,6,222.0
2026-06-09,陽明,6,51.6
